busbar_name,type [R or K],busbar_kilometering [km],voltage [V],timestamp [HH:MM:SS]
84-007.000-K-5-GR2-GR2,K,7.0,-1734.6617232963818,12:00:00
84-007.000-K-5-GR2-GR2,K,7.0,-1734.8505595122988,12:00:10
84-007.000-K-5-GR2-GR2,K,7.0,-1731.3157730795776,12:00:20
84-007.000-K-5-GR2-GR2,K,7.0,-1719.0363450465914,12:00:40
84-007.000-K-5-GR2-GR2,K,7.0,-1725.0436394287374,12:00:50
84-007.000-K-5-GR2-GR2,K,7.0,-1726.6695956924905,12:01:00
84-007.000-K-5-GR2-GR2,K,7.0,-1738.8989964458099,12:01:10
84-007.400-K-2-O2-B1-81-Fødekobler,K,7.4,0.0,12:00:00
84-007.400-K-2-T1-R3-81-Fødekobler,K,7.4,0.0,12:00:00
84-007.400-K-2-O2-B1-81-Fødekobler,K,7.4,0.0,12:00:10
84-007.400-K-2-T1-R3-81-Fødekobler,K,7.4,0.0,12:00:10
84-007.400-K-2-O2-B1-81-Fødekobler,K,7.4,0.0,12:00:20
84-007.400-K-2-T1-R3-81-Fødekobler,K,7.4,0.0,12:00:20
84-007.400-K-2-O2-B1-81-Fødekobler,K,7.4,0.0,12:00:40
84-007.400-K-2-T1-R3-81-Fødekobler,K,7.4,0.0,12:00:40
84-007.400-K-2-O2-B1-81-Fødekobler,K,7.4,0.0,12:00:50
84-007.400-K-2-T1-R3-81-Fødekobler,K,7.4,0.0,12:00:50
84-007.400-K-2-O2-B1-81-Fødekobler,K,7.4,0.0,12:01:00
84-007.400-K-2-T1-R3-81-Fødekobler,K,7.4,0.0,12:01:00
84-007.400-K-2-O2-B1-81-Fødekobler,K,7.4,0.0,12:01:10
84-007.400-K-2-T1-R3-81-Fødekobler,K,7.4,0.0,12:01:10
84-007.744-K-5-GR2-GR2-71,K,7.744,-1734.6251874404102,12:00:00
84-007.744-K-5-GR2-GR2-71,K,7.744,-1734.837564321756,12:00:10
84-007.744-K-5-GR2-GR2-71,K,7.744,-1731.15355287244,12:00:20
84-007.744-K-5-GR2-GR2-71,K,7.744,-1717.2033864014174,12:00:40
84-007.744-K-5-GR2-GR2-71,K,7.744,-1724.0466513801377,12:00:50
84-007.744-K-5-GR2-GR2-71,K,7.744,-1725.3615720652083,12:01:00
84-007.744-K-5-GR2-GR2-71,K,7.744,-1738.5871826596224,12:01:10
84-007.801-K-5-GR3-GR2-26,K,7.801,-1734.6223883584319,12:00:00
84-007.801-K-5-GR3-GR2-26,K,7.801,-1734.836568758463,12:00:10
84-007.801-K-5-GR3-GR2-26,K,7.801,-1731.1411247475837,12:00:20
84-007.801-K-5-GR3-GR2-26,K,7.801,-1717.062958157002,12:00:40
84-007.801-K-5-GR3-GR2-26,K,7.801,-1723.9702692687788,12:00:50
84-007.801-K-5-GR3-GR2-26,K,7.801,-1725.2613606157454,12:01:00
84-007.801-K-5-GR3-GR2-26,K,7.801,-1738.5632937367945,12:01:10
84-008.069-K-5-GR4-GR3-27,K,8.069,-1734.6092278474343,12:00:00
84-008.069-K-5-GR4-GR3-27,K,8.069,-1734.8318879490807,12:00:10
84-008.069-K-5-GR4-GR3-27,K,8.069,-1731.0826908433655,12:00:20
84-008.069-K-5-GR4-GR3-27,K,8.069,-1716.4026991489409,12:00:40
84-008.069-K-5-GR4-GR3-27,K,8.069,-1723.6111394378568,12:00:50
84-008.069-K-5-GR4-GR3-27,K,8.069,-1724.7901910937371,12:01:00
84-008.069-K-5-GR4-GR3-27,K,8.069,-1738.4509739776327,12:01:10
84-008.082-K-7-V1-T1-BB,K,8.082,-1734.6013891118578,12:00:00
84-008.082-K-7-V1-T1-BB,K,8.082,-1734.8290818236503,12:00:10
84-008.082-K-7-V1-T1-BB,K,8.082,-1731.0481013977562,12:00:20
84-008.082-K-7-V1-T1-BB,K,8.082,-1716.0120659725094,12:00:40
84-008.082-K-7-V1-T1-BB,K,8.082,-1723.3986232484106,12:00:50
84-008.082-K-7-V1-T1-BB,K,8.082,-1724.5115942592672,12:01:00
84-008.082-K-7-V1-T1-BB,K,8.082,-1738.3846151801251,12:01:10
84-008.149-K-5-GR4-GR4-BB,K,8.149,-1734.6052993619157,12:00:00
84-008.149-K-5-GR4-GR4-BB,K,8.149,-1734.8304907177812,12:00:10
84-008.149-K-5-GR4-GR4-BB,K,8.149,-1731.0652479120447,12:00:20
84-008.149-K-5-GR4-GR4-BB,K,8.149,-1716.2056069325045,12:00:40
84-008.149-K-5-GR4-GR4-BB,K,8.149,-1723.5039365282205,12:00:50
84-008.149-K-5-GR4-GR4-BB,K,8.149,-1724.6495435001793,12:01:00
84-008.149-K-5-GR4-GR4-BB,K,8.149,-1738.4174457165695,12:01:10
84-009.863-K-1-B1-B2-32-BB,K,9.863,0.0,12:00:00
84-009.863-K-2-R3-R2-81-BB,K,9.863,0.0,12:00:00
84-009.863-K-1-B1-B2-32-BB,K,9.863,0.0,12:00:10
84-009.863-K-2-R3-R2-81-BB,K,9.863,0.0,12:00:10
84-009.863-K-1-B1-B2-32-BB,K,9.863,0.0,12:00:20
84-009.863-K-2-R3-R2-81-BB,K,9.863,0.0,12:00:20
84-009.863-K-1-B1-B2-32-BB,K,9.863,0.0,12:00:40
84-009.863-K-2-R3-R2-81-BB,K,9.863,0.0,12:00:40
84-009.863-K-1-B1-B2-32-BB,K,9.863,0.0,12:00:50
84-009.863-K-2-R3-R2-81-BB,K,9.863,0.0,12:00:50
84-009.863-K-1-B1-B2-32-BB,K,9.863,0.0,12:01:00
84-009.863-K-2-R3-R2-81-BB,K,9.863,0.0,12:01:00
84-009.863-K-1-B1-B2-32-BB,K,9.863,0.0,12:01:10
84-009.863-K-2-R3-R2-81-BB,K,9.863,0.0,12:01:10
84-010.996-K-1-B2-B3-34,K,10.996,0.0,12:00:00
84-010.996-K-2-B2-B1-33,K,10.996,0.0,12:00:00
84-010.996-K-1-B2-B3-34,K,10.996,0.0,12:00:10
84-010.996-K-2-B2-B1-33,K,10.996,0.0,12:00:10
84-010.996-K-1-B2-B3-34,K,10.996,0.0,12:00:20
84-010.996-K-2-B2-B1-33,K,10.996,0.0,12:00:20
84-010.996-K-1-B2-B3-34,K,10.996,0.0,12:00:40
84-010.996-K-2-B2-B1-33,K,10.996,0.0,12:00:40
84-010.996-K-1-B2-B3-34,K,10.996,0.0,12:00:50
84-010.996-K-2-B2-B1-33,K,10.996,0.0,12:00:50
84-010.996-K-1-B2-B3-34,K,10.996,0.0,12:01:00
84-010.996-K-2-B2-B1-33,K,10.996,0.0,12:01:00
84-010.996-K-1-B2-B3-34,K,10.996,0.0,12:01:10
84-010.996-K-2-B2-B1-33,K,10.996,0.0,12:01:10
84-011.713-K-5-GR1-BR2-83-Fødekobler,K,11.713,-1734.722076981914,12:00:00
84-011.713-K-5-GR1-GR1-BB,K,11.713,-1734.7220278736345,12:00:00
84-011.713-K-5-GR1-BR2-83-Fødekobler,K,11.713,-1734.8720268026893,12:00:10
84-011.713-K-5-GR1-GR1-BB,K,11.713,-1734.8720093350892,12:00:10
84-011.713-K-5-GR1-BR2-83-Fødekobler,K,11.713,-1731.5837424475162,12:00:20
84-011.713-K-5-GR1-GR1-BB,K,11.713,-1731.5835244086604,12:00:20
84-011.713-K-5-GR1-BR2-83-Fødekobler,K,11.713,-1722.0641767172501,12:00:40
84-011.713-K-5-GR1-GR1-BB,K,11.713,-1722.061713062238,12:00:40
84-011.713-K-5-GR1-BR2-83-Fødekobler,K,11.713,-1726.6905465433479,12:00:50
84-011.713-K-5-GR1-GR1-BB,K,11.713,-1726.6892065047175,12:00:50
84-011.713-K-5-GR1-BR2-83-Fødekobler,K,11.713,-1728.8302967989098,12:01:00
84-011.713-K-5-GR1-GR1-BB,K,11.713,-1728.8285387017079,12:01:00
84-011.713-K-5-GR1-BR2-83-Fødekobler,K,11.713,-1739.4140767179517,12:01:10
84-011.713-K-5-GR1-GR1-BB,K,11.713,-1739.413657612455,12:01:10
84-011.748-K-81-V2-L1-BB,K,11.748,0.0,12:00:00
84-011.748-K-81-V2-L1-BB,K,11.748,0.0,12:00:10
84-011.748-K-81-V2-L1-BB,K,11.748,0.0,12:00:20
84-011.748-K-81-V2-L1-BB,K,11.748,0.0,12:00:40
84-011.748-K-81-V2-L1-BB,K,11.748,0.0,12:00:50
84-011.748-K-81-V2-L1-BB,K,11.748,0.0,12:01:00
84-011.748-K-81-V2-L1-BB,K,11.748,0.0,12:01:10
84-011.787-K-1-B3-B3-82-Fødekobler,K,11.787,0.0,12:00:00
84-011.787-K-1-BR1-B3-82-Fødekobler,K,11.787,0.0,12:00:00
84-011.787-K-2-L3-R1-81-Fødekobler,K,11.787,0.0,12:00:00
84-011.787-K-2-R1-R1-81-Fødekobler,K,11.787,0.0,12:00:00
84-011.787-K-1-B3-B3-82-Fødekobler,K,11.787,0.0,12:00:10
84-011.787-K-1-BR1-B3-82-Fødekobler,K,11.787,0.0,12:00:10
84-011.787-K-2-L3-R1-81-Fødekobler,K,11.787,0.0,12:00:10
84-011.787-K-2-R1-R1-81-Fødekobler,K,11.787,0.0,12:00:10
84-011.787-K-1-B3-B3-82-Fødekobler,K,11.787,0.0,12:00:20
84-011.787-K-1-BR1-B3-82-Fødekobler,K,11.787,0.0,12:00:20
84-011.787-K-2-L3-R1-81-Fødekobler,K,11.787,0.0,12:00:20
84-011.787-K-2-R1-R1-81-Fødekobler,K,11.787,0.0,12:00:20
84-011.787-K-1-B3-B3-82-Fødekobler,K,11.787,0.0,12:00:40
84-011.787-K-1-BR1-B3-82-Fødekobler,K,11.787,0.0,12:00:40
84-011.787-K-2-L3-R1-81-Fødekobler,K,11.787,0.0,12:00:40
84-011.787-K-2-R1-R1-81-Fødekobler,K,11.787,0.0,12:00:40
84-011.787-K-1-B3-B3-82-Fødekobler,K,11.787,0.0,12:00:50
84-011.787-K-1-BR1-B3-82-Fødekobler,K,11.787,0.0,12:00:50
84-011.787-K-2-L3-R1-81-Fødekobler,K,11.787,0.0,12:00:50
84-011.787-K-2-R1-R1-81-Fødekobler,K,11.787,0.0,12:00:50
84-011.787-K-1-B3-B3-82-Fødekobler,K,11.787,0.0,12:01:00
84-011.787-K-1-BR1-B3-82-Fødekobler,K,11.787,0.0,12:01:00
84-011.787-K-2-L3-R1-81-Fødekobler,K,11.787,0.0,12:01:00
84-011.787-K-2-R1-R1-81-Fødekobler,K,11.787,0.0,12:01:00
84-011.787-K-1-B3-B3-82-Fødekobler,K,11.787,0.0,12:01:10
84-011.787-K-1-BR1-B3-82-Fødekobler,K,11.787,0.0,12:01:10
84-011.787-K-2-L3-R1-81-Fødekobler,K,11.787,0.0,12:01:10
84-011.787-K-2-R1-R1-81-Fødekobler,K,11.787,0.0,12:01:10
84-011.963-K-3-GR1-BR3-81-BB,K,11.963,0.0,12:00:00
84-011.963-K-3-GR1-BR3-81-BB,K,11.963,0.0,12:00:10
84-011.963-K-3-GR1-BR3-81-BB,K,11.963,0.0,12:00:20
84-011.963-K-3-GR1-BR3-81-BB,K,11.963,0.0,12:00:40
84-011.963-K-3-GR1-BR3-81-BB,K,11.963,0.0,12:00:50
84-011.963-K-3-GR1-BR3-81-BB,K,11.963,0.0,12:01:00
84-011.963-K-3-GR1-BR3-81-BB,K,11.963,0.0,12:01:10
84-012.931-K-5-GR2-GR1-24-BB,K,12.931,-1734.6622143728407,12:00:00
84-012.931-K-5-GR2-GR1-24-BB,K,12.931,-1734.850734181983,12:00:10
84-012.931-K-5-GR2-GR1-24-BB,K,12.931,-1731.3179534617307,12:00:20
84-012.931-K-5-GR2-GR1-24-BB,K,12.931,-1719.0609815892587,12:00:40
84-012.931-K-5-GR2-GR1-24-BB,K,12.931,-1725.0570398081163,12:00:50
84-012.931-K-5-GR2-GR1-24-BB,K,12.931,-1726.6871766573718,12:01:00
84-012.931-K-5-GR2-GR1-24-BB,K,12.931,-1738.9031874942486,12:01:10
84-013.204-K-1-BR1-BR2-24-BB,K,13.204,0.0,12:00:00
84-013.204-K-2-L3-L2-23-BB,K,13.204,0.0,12:00:00
84-013.204-K-1-BR1-BR2-24-BB,K,13.204,0.0,12:00:10
84-013.204-K-2-L3-L2-23-BB,K,13.204,0.0,12:00:10
84-013.204-K-1-BR1-BR2-24-BB,K,13.204,0.0,12:00:20
84-013.204-K-2-L3-L2-23-BB,K,13.204,0.0,12:00:20
84-013.204-K-1-BR1-BR2-24-BB,K,13.204,0.0,12:00:40
84-013.204-K-2-L3-L2-23-BB,K,13.204,0.0,12:00:40
84-013.204-K-1-BR1-BR2-24-BB,K,13.204,0.0,12:00:50
84-013.204-K-2-L3-L2-23-BB,K,13.204,0.0,12:00:50
84-013.204-K-1-BR1-BR2-24-BB,K,13.204,0.0,12:01:00
84-013.204-K-2-L3-L2-23-BB,K,13.204,0.0,12:01:00
84-013.204-K-1-BR1-BR2-24-BB,K,13.204,0.0,12:01:10
84-013.204-K-2-L3-L2-23-BB,K,13.204,0.0,12:01:10
84-014.298-K-1-BR2-BR3-26-BB,K,14.298,0.0,12:00:00
84-014.298-K-2-L1-L2-25-BB,K,14.298,0.0,12:00:00
84-014.298-K-1-BR2-BR3-26-BB,K,14.298,0.0,12:00:10
84-014.298-K-2-L1-L2-25-BB,K,14.298,0.0,12:00:10
84-014.298-K-1-BR2-BR3-26-BB,K,14.298,0.0,12:00:20
84-014.298-K-2-L1-L2-25-BB,K,14.298,0.0,12:00:20
84-014.298-K-1-BR2-BR3-26-BB,K,14.298,0.0,12:00:40
84-014.298-K-2-L1-L2-25-BB,K,14.298,0.0,12:00:40
84-014.298-K-1-BR2-BR3-26-BB,K,14.298,0.0,12:00:50
84-014.298-K-2-L1-L2-25-BB,K,14.298,0.0,12:00:50
84-014.298-K-1-BR2-BR3-26-BB,K,14.298,0.0,12:01:00
84-014.298-K-2-L1-L2-25-BB,K,14.298,0.0,12:01:00
84-014.298-K-1-BR2-BR3-26-BB,K,14.298,0.0,12:01:10
84-014.298-K-2-L1-L2-25-BB,K,14.298,0.0,12:01:10
84-015.974-K-1-BR3-82-BB,K,15.974,0.0,12:00:00
84-015.974-K-1-GR1-82-BB,K,15.974,0.0,12:00:00
84-015.974-K-2-L1-81-BB,K,15.974,0.0,12:00:00
84-015.974-K-2-V2-81-BB,K,15.974,0.0,12:00:00
84-015.974-K-1-BR3-82-BB,K,15.974,0.0,12:00:10
84-015.974-K-1-GR1-82-BB,K,15.974,0.0,12:00:10
84-015.974-K-2-L1-81-BB,K,15.974,0.0,12:00:10
84-015.974-K-2-V2-81-BB,K,15.974,0.0,12:00:10
84-015.974-K-1-BR3-82-BB,K,15.974,0.0,12:00:20
84-015.974-K-1-GR1-82-BB,K,15.974,0.0,12:00:20
84-015.974-K-2-L1-81-BB,K,15.974,0.0,12:00:20
84-015.974-K-2-V2-81-BB,K,15.974,0.0,12:00:20
84-015.974-K-1-BR3-82-BB,K,15.974,0.0,12:00:40
84-015.974-K-1-GR1-82-BB,K,15.974,0.0,12:00:40
84-015.974-K-2-L1-81-BB,K,15.974,0.0,12:00:40
84-015.974-K-2-V2-81-BB,K,15.974,0.0,12:00:40
84-015.974-K-1-BR3-82-BB,K,15.974,0.0,12:00:50
84-015.974-K-1-GR1-82-BB,K,15.974,0.0,12:00:50
84-015.974-K-2-L1-81-BB,K,15.974,0.0,12:00:50
84-015.974-K-2-V2-81-BB,K,15.974,0.0,12:00:50
84-015.974-K-1-BR3-82-BB,K,15.974,0.0,12:01:00
84-015.974-K-1-GR1-82-BB,K,15.974,0.0,12:01:00
84-015.974-K-2-L1-81-BB,K,15.974,0.0,12:01:00
84-015.974-K-2-V2-81-BB,K,15.974,0.0,12:01:00
84-015.974-K-1-BR3-82-BB,K,15.974,0.0,12:01:10
84-015.974-K-1-GR1-82-BB,K,15.974,0.0,12:01:10
84-015.974-K-2-L1-81-BB,K,15.974,0.0,12:01:10
84-015.974-K-2-V2-81-BB,K,15.974,0.0,12:01:10
84-019.970-K-1-GR1-GR2-32-BB,K,19.97,0.0,12:00:00
84-019.970-K-2-V2-V1-31-BB,K,19.97,0.0,12:00:00
84-019.970-K-1-GR1-GR2-32-BB,K,19.97,0.0,12:00:10
84-019.970-K-2-V2-V1-31-BB,K,19.97,0.0,12:00:10
84-019.970-K-1-GR1-GR2-32-BB,K,19.97,0.0,12:00:20
84-019.970-K-2-V2-V1-31-BB,K,19.97,0.0,12:00:20
84-019.970-K-1-GR1-GR2-32-BB,K,19.97,0.0,12:00:40
84-019.970-K-2-V2-V1-31-BB,K,19.97,0.0,12:00:40
84-019.970-K-1-GR1-GR2-32-BB,K,19.97,0.0,12:00:50
84-019.970-K-2-V2-V1-31-BB,K,19.97,0.0,12:00:50
84-019.970-K-1-GR1-GR2-32-BB,K,19.97,0.0,12:01:00
84-019.970-K-2-V2-V1-31-BB,K,19.97,0.0,12:01:00
84-019.970-K-1-GR1-GR2-32-BB,K,19.97,0.0,12:01:10
84-019.970-K-2-V2-V1-31-BB,K,19.97,0.0,12:01:10
84-020.607-K-1-GR2-O1-82-Fødekobler,K,20.607,0.0,12:00:00
84-020.607-K-1-O1-O1-82-Fødekobler,K,20.607,0.0,12:00:00
84-020.607-K-2-T1-T1-81-Fødekobler,K,20.607,0.0,12:00:00
84-020.607-K-2-V1-T1-81-Fødekobler,K,20.607,0.0,12:00:00
84-020.607-K-1-GR2-O1-82-Fødekobler,K,20.607,0.0,12:00:10
84-020.607-K-1-O1-O1-82-Fødekobler,K,20.607,0.0,12:00:10
84-020.607-K-2-T1-T1-81-Fødekobler,K,20.607,0.0,12:00:10
84-020.607-K-2-V1-T1-81-Fødekobler,K,20.607,0.0,12:00:10
84-020.607-K-1-GR2-O1-82-Fødekobler,K,20.607,0.0,12:00:20
84-020.607-K-1-O1-O1-82-Fødekobler,K,20.607,0.0,12:00:20
84-020.607-K-2-T1-T1-81-Fødekobler,K,20.607,0.0,12:00:20
84-020.607-K-2-V1-T1-81-Fødekobler,K,20.607,0.0,12:00:20
84-020.607-K-1-GR2-O1-82-Fødekobler,K,20.607,0.0,12:00:40
84-020.607-K-1-O1-O1-82-Fødekobler,K,20.607,0.0,12:00:40
84-020.607-K-2-T1-T1-81-Fødekobler,K,20.607,0.0,12:00:40
84-020.607-K-2-V1-T1-81-Fødekobler,K,20.607,0.0,12:00:40
84-020.607-K-1-GR2-O1-82-Fødekobler,K,20.607,0.0,12:00:50
84-020.607-K-1-O1-O1-82-Fødekobler,K,20.607,0.0,12:00:50
84-020.607-K-2-T1-T1-81-Fødekobler,K,20.607,0.0,12:00:50
84-020.607-K-2-V1-T1-81-Fødekobler,K,20.607,0.0,12:00:50
84-020.607-K-1-GR2-O1-82-Fødekobler,K,20.607,0.0,12:01:00
84-020.607-K-1-O1-O1-82-Fødekobler,K,20.607,0.0,12:01:00
84-020.607-K-2-T1-T1-81-Fødekobler,K,20.607,0.0,12:01:00
84-020.607-K-2-V1-T1-81-Fødekobler,K,20.607,0.0,12:01:00
84-020.607-K-1-GR2-O1-82-Fødekobler,K,20.607,0.0,12:01:10
84-020.607-K-1-O1-O1-82-Fødekobler,K,20.607,0.0,12:01:10
84-020.607-K-2-T1-T1-81-Fødekobler,K,20.607,0.0,12:01:10
84-020.607-K-2-V1-T1-81-Fødekobler,K,20.607,0.0,12:01:10
84-024.334-K-1-B1-O1-82-Fødekobler,K,24.334,0.0,12:00:00
84-024.334-K-1-O1-O1-Fødekabler,K,24.334,0.0,12:00:00
84-024.334-K-2-R1-T1-81-Fødekobler,K,24.334,0.0,12:00:00
84-024.334-K-2-T1-T1-82-Fødekobler,K,24.334,0.0,12:00:00
84-024.334-K-1-B1-O1-82-Fødekobler,K,24.334,0.0,12:00:10
84-024.334-K-1-O1-O1-Fødekabler,K,24.334,0.0,12:00:10
84-024.334-K-2-R1-T1-81-Fødekobler,K,24.334,0.0,12:00:10
84-024.334-K-2-T1-T1-82-Fødekobler,K,24.334,0.0,12:00:10
84-024.334-K-1-B1-O1-82-Fødekobler,K,24.334,0.0,12:00:20
84-024.334-K-1-O1-O1-Fødekabler,K,24.334,0.0,12:00:20
84-024.334-K-2-R1-T1-81-Fødekobler,K,24.334,0.0,12:00:20
84-024.334-K-2-T1-T1-82-Fødekobler,K,24.334,0.0,12:00:20
84-024.334-K-1-B1-O1-82-Fødekobler,K,24.334,0.0,12:00:40
84-024.334-K-1-O1-O1-Fødekabler,K,24.334,0.0,12:00:40
84-024.334-K-2-R1-T1-81-Fødekobler,K,24.334,0.0,12:00:40
84-024.334-K-2-T1-T1-82-Fødekobler,K,24.334,0.0,12:00:40
84-024.334-K-1-B1-O1-82-Fødekobler,K,24.334,0.0,12:00:50
84-024.334-K-1-O1-O1-Fødekabler,K,24.334,0.0,12:00:50
84-024.334-K-2-R1-T1-81-Fødekobler,K,24.334,0.0,12:00:50
84-024.334-K-2-T1-T1-82-Fødekobler,K,24.334,0.0,12:00:50
84-024.334-K-1-B1-O1-82-Fødekobler,K,24.334,0.0,12:01:00
84-024.334-K-1-O1-O1-Fødekabler,K,24.334,0.0,12:01:00
84-024.334-K-2-R1-T1-81-Fødekobler,K,24.334,0.0,12:01:00
84-024.334-K-2-T1-T1-82-Fødekobler,K,24.334,0.0,12:01:00
84-024.334-K-1-B1-O1-82-Fødekobler,K,24.334,0.0,12:01:10
84-024.334-K-1-O1-O1-Fødekabler,K,24.334,0.0,12:01:10
84-024.334-K-2-R1-T1-81-Fødekobler,K,24.334,0.0,12:01:10
